window_idx_global,series_id,series_name,start_idx,state_id,recon_mae
127,0,clean_serie1,3810,1,0.07116969
128,0,clean_serie1,3840,1,0.071639724
129,0,clean_serie1,3870,1,0.0623545
130,0,clean_serie1,3900,0,0.052352477
131,0,clean_serie1,3930,0,0.045865066
132,0,clean_serie1,3960,0,0.049937908
133,0,clean_serie1,3990,0,0.055860277
134,0,clean_serie1,4020,0,0.06313853
135,0,clean_serie1,4050,0,0.06643088
136,0,clean_serie1,4080,1,0.0731122
137,0,clean_serie1,4110,1,0.0836122
138,0,clean_serie1,4140,1,0.11051588
139,0,clean_serie1,4170,1,0.12836765
140,0,clean_serie1,4200,1,0.117620364
141,0,clean_serie1,4230,1,0.1040484
142,0,clean_serie1,4260,0,0.069759354
143,0,clean_serie1,4290,0,0.05763911
144,0,clean_serie1,4320,0,0.06520849
145,0,clean_serie1,4350,1,0.06488785
146,0,clean_serie1,4380,1,0.06437225
147,0,clean_serie1,4410,0,0.058145776
148,0,clean_serie1,4440,0,0.044809286
149,0,clean_serie1,4470,0,0.041555144
150,0,clean_serie1,4500,0,0.040242817
151,0,clean_serie1,4530,0,0.04092511
152,0,clean_serie1,4560,0,0.044443272
153,0,clean_serie1,4590,0,0.05286409
154,0,clean_serie1,4620,0,0.066213354
155,0,clean_serie1,4650,1,0.084906474
156,0,clean_serie1,4680,1,0.086415574
157,0,clean_serie1,4710,1,0.08240436
158,0,clean_serie1,4740,0,0.06801861
159,0,clean_serie1,4770,0,0.048749175
160,0,clean_serie1,4800,0,0.042176064
161,0,clean_serie1,4830,0,0.04181172
162,0,clean_serie1,4860,0,0.040559247
163,0,clean_serie1,4890,0,0.04251731
164,0,clean_serie1,4920,0,0.04446429
165,0,clean_serie1,4950,0,0.045075975
166,0,clean_serie1,4980,0,0.046992708
167,0,clean_serie1,5010,0,0.045624766
168,0,clean_serie1,5040,0,0.04555487
169,0,clean_serie1,5070,0,0.044909153
170,0,clean_serie1,5100,0,0.04226952
171,0,clean_serie1,5130,0,0.04306057
172,0,clean_serie1,5160,0,0.04171214
173,0,clean_serie1,5190,0,0.04266568
174,0,clean_serie1,5220,0,0.04234731
175,0,clean_serie1,5250,0,0.04123123
176,0,clean_serie1,5280,0,0.04279675
177,0,clean_serie1,5310,0,0.043507177
178,0,clean_serie1,5340,0,0.043442544
179,0,clean_serie1,5370,0,0.043606095
180,0,clean_serie1,5400,0,0.042047676
181,0,clean_serie1,5430,0,0.03988474
182,0,clean_serie1,5460,0,0.03753649
183,0,clean_serie1,5490,0,0.03836017
184,0,clean_serie1,5520,0,0.03965871
185,0,clean_serie1,5550,0,0.046690147
186,0,clean_serie1,5580,0,0.06094935
187,0,clean_serie1,5610,1,0.07794834
188,0,clean_serie1,5640,1,0.09720575
189,0,clean_serie1,5670,1,0.11097147
190,0,clean_serie1,5700,1,0.10559194
191,0,clean_serie1,5730,1,0.09510592
192,0,clean_serie1,5760,1,0.08067317
193,0,clean_serie1,5790,1,0.06619391
194,0,clean_serie1,5820,1,0.060007215
195,0,clean_serie1,5850,1,0.057839904
196,0,clean_serie1,5880,0,0.05158789
197,0,clean_serie1,5910,0,0.05133824
198,0,clean_serie1,5940,0,0.061456196
199,0,clean_serie1,5970,0,0.08159448
200,0,clean_serie1,6000,1,0.10534934
201,0,clean_serie1,6030,1,0.11246465
202,0,clean_serie1,6060,1,0.10770098
203,0,clean_serie1,6090,1,0.08580987
204,0,clean_serie1,6120,1,0.058003984
205,0,clean_serie1,6150,0,0.0450554
206,0,clean_serie1,6180,0,0.03848895
207,0,clean_serie1,6210,0,0.038348053
208,0,clean_serie1,6240,0,0.043103166
209,0,clean_serie1,6270,0,0.068459615
210,0,clean_serie1,6300,0,0.10376655
211,0,clean_serie1,6330,1,0.13145342
212,0,clean_serie1,6360,1,0.13797359
213,0,clean_serie1,6390,1,0.11468605
214,0,clean_serie1,6420,0,0.07942016
215,0,clean_serie1,6450,0,0.04530735
216,0,clean_serie1,6480,0,0.038192112
217,0,clean_serie1,6510,0,0.038173042
218,0,clean_serie1,6540,0,0.038491752
219,0,clean_serie1,6570,0,0.03885361
220,0,clean_serie1,6600,0,0.04011124
221,0,clean_serie1,6630,0,0.040165
222,0,clean_serie1,6660,0,0.04235077
223,0,clean_serie1,6690,0,0.044995513
224,0,clean_serie1,6720,0,0.044689324
225,0,clean_serie1,6750,0,0.042330597
226,0,clean_serie1,6780,0,0.04045895
227,0,clean_serie1,6810,0,0.038504787
228,0,clean_serie1,6840,0,0.040294826
229,0,clean_serie1,6870,0,0.041727077
230,0,clean_serie1,6900,0,0.04555649
231,0,clean_serie1,6930,0,0.044731382
232,0,clean_serie1,6960,0,0.04464996
233,0,clean_serie1,6990,0,0.044841696
234,0,clean_serie1,7020,0,0.04149467
235,0,clean_serie1,7050,0,0.04043151
236,0,clean_serie1,7080,0,0.04188428
237,0,clean_serie1,7110,0,0.046508837
238,0,clean_serie1,7140,0,0.060097314
239,0,clean_serie1,7170,1,0.07961783
240,0,clean_serie1,7200,1,0.090539776
241,0,clean_serie1,7230,1,0.10518309
242,0,clean_serie1,7260,1,0.11722682
243,0,clean_serie1,7290,1,0.114602506
